_id,distance,gateway,major,majorminor,minor,rssi,timestamp,type,uuid
F0F8F2044F23,3.1622776601683795,F3499FDED02E,10004,1000422222,22222,-75,1678463637,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825
087CBF000028,3.1622776601683795,F3499FDED02E,10004,1000411111,11111,-75,1678463637,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825
DC0D300F720A,2.712272579332028,F3499FDED02E,12303,1230329194,29194,-73,1678463637,1AFF4C000215,D546DF97475747EFBE093E2DCBDD0C77
C4FE51F6A878,1.1659144011798317,F3499FDED02E,10002,100029571,9571,-62,1678463637,1AFF4C000215,0112233445566778899AABBCCDDEEFF0
04EE03C47286,1.4677992676220695,F3499FDED02E,10004,1000454480,54480,-65,1678463637,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825
C630A073DD08,1.3593563908785256,F3499FDED02E,10002,100029586,9586,-64,1678463637,1AFF4C000215,0112233445566778899AABBCCDDEEFF0
C630A073DD08,1.4677992676220695,F3499FDED02E,10002,100029586,9586,-65,1678463639,1AFF4C000215,0112233445566778899AABBCCDDEEFF0
04EE03C47286,0.9261187281287935,F3499FDED02E,10004,1000454480,54480,-59,1678463639,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825
DC0D300F720A,3.686945064519575,F3499FDED02E,12303,1230329194,29194,-77,1678463639,1AFF4C000215,D546DF97475747EFBE093E2DCBDD0C77
C4FE51F6A878,1.0797751623277096,F3499FDED02E,10002,100029571,9571,-61,1678463639,1AFF4C000215,0112233445566778899AABBCCDDEEFF0
087CBF000028,3.4145488738336014,F3499FDED02E,10004,1000411111,11111,-76,1678463639,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825
F0F8F2044F23,6.309573444801933,F3499FDED02E,10004,1000422222,22222,-84,1678463639,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825
F0F8F2044F23,5.411695265464636,E06B09BAC79F,10004,1000422222,22222,-82,1678463639,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825
04EE03C47286,1.9952623149688795,E06B09BAC79F,10004,1000454480,54480,-69,1678463639,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825
DC0D300F720A,3.4145488738336014,E06B09BAC79F,12303,1230329194,29194,-76,1678463639,1AFF4C000215,D546DF97475747EFBE093E2DCBDD0C77
C4FE51F6A878,3.1622776601683795,E06B09BAC79F,10002,100029571,9571,-75,1678463639,1AFF4C000215,0112233445566778899AABBCCDDEEFF0
087CBF000028,3.1622776601683795,E06B09BAC79F,10004,1000411111,11111,-75,1678463639,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825
C630A073DD08,2.51188643150958,E06B09BAC79F,10002,100029586,9586,-72,1678463639,1AFF4C000215,0112233445566778899AABBCCDDEEFF0
04EE03C47286,3.9810717055349722,E06B09BAC79F,10004,1000454480,54480,-78,1678463641,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825
087CBF000028,3.1622776601683795,E06B09BAC79F,10004,1000411111,11111,-75,1678463641,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825
C630A073DD08,2.51188643150958,E06B09BAC79F,10002,100029586,9586,-72,1678463641,1AFF4C000215,0112233445566778899AABBCCDDEEFF0
F0F8F2044F23,3.4145488738336014,E06B09BAC79F,10004,1000422222,22222,-76,1678463641,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825
C4FE51F6A878,10.0,E06B09BAC79F,10002,100029571,9571,-90,1678463641,1AFF4C000215,0112233445566778899AABBCCDDEEFF0
04EE03C47286,0.9261187281287935,F3499FDED02E,10004,1000454480,54480,-59,1678463642,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825
087CBF000028,3.686945064519575,F3499FDED02E,10004,1000411111,11111,-77,1678463642,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825
